STID;site;state;lat;lon;alt;Year;cultivar;YOR;N_fert;Y_max;soil;SQ;MAP;MAT;ACWB;trial;GP_P_mean;GP_P_sum;GP_T_max;GP_T_mean;GP_T_min;GS_P_mean;GS_P_sum;GS_T_max;GS_T_mean;GS_T_min;GS_TD;GS_TD_mean;SP_CWBm_J;SP_CWBneg_n_H;SP_CWBs_J;SP_ETPm_J;SP_ETPs_J;SP_P_mean;SP_P_sum;SP_T_max;SP_T_mean;SP_T_min;SP_TD;SP_TD_mean
11;Hanninghof;NRW;51.84;7.25;80;1995;Orestis;1988;259.2;64.3;ls;64;862.8;9.9;562.1;1;2.27;99.9;22.2;17.1;11.7;2.94;809.9;12.7;8.9;4.9;2466.2;9.3;-1.84;37;-81.25;3.02;132.95;1.17;51.7;18;12.9;7;569.1;12.9
12;Ahaus;NRW;52.07;7.01;50;1996;Orestis;1988;273;96.7;sl;66;885.4;9.9;587.5;2;1.76;104;20.5;15.9;10.1;1.29;367.6;10.6;6.9;2.2;2151.9;9.7;-1.69;24;-54.32;3.95;126.42;2.25;72.1;19.5;15;9.1;479.7;15
13;Roosmann;NRW;52.08;6.99;52;1996;Orestis;1988;273;99.6;sl;54;885.4;9.9;587.5;3;2.4;151.5;20.7;16.1;10;1.43;412.3;10.9;7.1;2.1;2237.3;9.9;-2.07;18;-51.99;4.62;115.59;2.54;63.6;21.3;16.4;9.4;410.4;16.4
14;Wulfen;NRW;51.71;7.01;50;1996;Orestis;1988;222.8;74.3;ls;63;862.3;10.3;543;4;2.13;108.7;21.7;17;11.3;1.39;384.1;10.8;7.1;3.2;2109.7;9.7;-0.79;33;-34.28;2.94;126.78;2.15;92.5;16.5;12.3;7.5;528.5;12.3
21;Flensburg;SH;54.76;9.43;50;1989;Adular;1986;184.9;85.4;ls;67.5;881;8.5;650.8;1;1.76;81.4;21.9;17.1;12.2;1.82;534.1;11.4;8.2;5.1;2413;8.5;-1.97;41;-92.87;3.06;143.87;1.08;51;16.4;11.5;6.6;538.4;11.5
22;Flensburg;SH;54.76;9.43;50;1990;Adular;1986;211.9;86.7;ls;67.5;881;8.5;650.8;2;3.02;169.4;18.7;14.8;11.2;2.34;684.1;11.7;8.4;5.3;2474.6;8.8;-1.61;36;-69.38;2.87;123.58;1.26;54.2;17.1;12.4;7.7;535.3;12.4
24;Flensburg;SH;54.76;9.43;50;1990;Bert;1985;214.3;91.9;ls;67.5;881;8.5;650.8;4;3.02;169.4;18.7;14.8;11.2;2.34;684.1;11.7;8.4;5.3;2474.6;8.8;-1.61;36;-69.38;2.87;123.58;1.26;54.2;17.1;12.4;7.7;535.3;12.4
25;Flensburg;SH;54.76;9.43;50;1989;Dolomit;1984;163.6;82.4;ls;67.5;881;8.5;650.8;5;1.76;81.4;21.9;17.1;12.2;1.82;534.1;11.4;8.2;5.1;2413;8.5;-1.97;41;-92.87;3.06;143.87;1.08;51;16.4;11.5;6.6;538.4;11.5
26;Flensburg;SH;54.76;9.43;50;1990;Dolomit;1984;222.5;78.2;ls;67.5;881;8.5;650.8;6;3.02;169.4;18.7;14.8;11.2;2.34;684.1;11.7;8.4;5.3;2474.6;8.8;-1.61;36;-69.38;2.87;123.58;1.26;54.2;17.1;12.4;7.7;535.3;12.4
27;Flensburg;SH;54.76;9.43;50;1989;Kanzler;1980;154.2;79.3;ls;67.5;881;8.5;650.8;7;1.76;81.4;21.9;17.1;12.2;1.82;534.1;11.4;8.2;5.1;2413;8.5;-1.97;41;-92.87;3.06;143.87;1.08;51;16.4;11.5;6.6;538.4;11.5
28;Flensburg;SH;54.76;9.43;50;1990;Kanzler;1980;219.2;84.5;ls;67.5;881;8.5;650.8;8;3.02;169.4;18.7;14.8;11.2;2.34;684.1;11.7;8.4;5.3;2474.6;8.8;-1.61;36;-69.38;2.87;123.58;1.26;54.2;17.1;12.4;7.7;535.3;12.4
31;Gut Roggenstein;BY;48.18;11.33;515;1980;Basalt;1980;240;65.4;sl;69;969;8.5;659.2;1;4.5;243.2;19.8;15.5;11.3;3.13;881.6;10.4;6.8;3.2;2023.9;8.4;-1.05;34;-47.54;3.7;166.54;2.64;119;17.9;13.2;7.9;594.4;13.2
34;Gut Roggenstein;BY;48.18;11.33;515;1983;Basalt;1980;125;85.5;sl;69;969;8.5;659.2;4;1.73;83.5;23.4;18.2;12.6;2.32;623.2;11.8;7.5;3.5;2135.4;9.3;-2.27;18;-52.32;4.31;99.22;2.03;46.9;18.8;13.8;8.1;316.8;13.8
35;Gut Roggenstein;BY;48.18;11.33;515;1984;Basalt;1980;180;83.3;sl;69;969;8.5;659.2;5;3.31;182.5;21;16.3;11.4;1.95;553.6;10.3;6;1.6;1948.8;9.6;-0.35;28;-14.4;3.34;137.1;2.99;122.7;17.4;12.6;7.1;515.1;12.6
36;Gut Roggenstein;BY;48.18;11.33;515;1985;Basalt;1980;184.1;87;sl;69;969;8.5;659.2;6;3.8;216.7;22.2;16.7;11.3;2.86;811.2;10.3;5.9;1.7;2063.1;9.6;-0.75;15;-15.81;3.99;83.81;3.23;68;20.5;15.5;9.7;324.6;15.5
39;Gut Roggenstein;BY;48.18;11.33;515;1985;Basalt;1980;161.9;90.9;sl;69;969;8.5;659.2;9;3.8;216.7;22.2;16.7;11.3;2.86;811.2;10.3;5.9;1.7;2063.1;9.6;-0.75;15;-15.81;3.99;83.81;3.23;68;20.5;15.5;9.7;324.6;15.5
61;Thalhausen;BY;48.42;11.66;490;2002;Pegassos;1994;231.8;64;tu;70;831.5;8.2;545.4;1;2.7;132.7;23.9;17.8;12.1;2.2;585.2;11.9;6.9;2.5;2042.1;9.6;0.13;23;4.32;3.37;108.08;3.51;112.4;19.2;13.4;7.6;427.7;13.4
62;Thalhausen;BY;48.42;11.66;490;2002;Pegassos;1994;282.4;82.8;tu;70;831.5;8.2;545.4;2;2.7;132.7;23.9;17.8;12.1;2.2;585.2;11.9;6.9;2.5;2042.1;9.6;0.13;23;4.32;3.37;108.08;3.51;112.4;19.2;13.4;7.6;427.7;13.4
71;Gut Roggenstein;BY;48.18;11.33;515;1986;Basalt;1980;153.1;72.2;sl;69;969;8.5;659.2;1;4.18;196.7;23.2;17.9;12.2;2.94;809.7;10.6;6.4;2.4;2103;10.4;0.74;45;54.36;2.99;218.84;3.74;273.2;17.4;12.7;7.9;930;13.3
72;Gut Roggenstein;BY;48.18;11.33;515;1986;Basalt;1980;145.5;72.8;sl;69;969;8.5;659.2;2;4.18;196.7;23.2;17.9;12.2;2.94;809.7;10.6;6.4;2.4;2103;10.4;0.74;45;54.36;2.99;218.84;3.74;273.2;17.4;12.7;7.9;930;13.3
73;Gut Roggenstein;BY;48.18;11.33;515;1987;Basalt;1980;95.9;70.9;sl;69;969;8.5;659.2;3;4.18;221.6;21.9;16.9;12.4;3.06;842.2;10.4;6.1;2.2;2036.2;10;2.07;38;143.1;2.54;175.7;4.62;318.8;15.9;11.4;6.6;783.5;11.4
74;Gut Roggenstein;BY;48.18;11.33;515;1987;Basalt;1980;105.6;63.9;sl;69;969;8.5;659.2;4;4.18;221.6;21.9;16.9;12.4;3.06;842.2;10.4;6.1;2.2;2036.2;10;2.07;38;143.1;2.54;175.7;4.62;318.8;15.9;11.4;6.6;783.5;11.4
