site;var_name;value;exceldate
Ahaus;precipitation height;0.30;18629
Ahaus;precipitation height;1.70;18630
Ahaus;precipitation height;0.00;18631
Ahaus;precipitation height;2.60;18632
Ahaus;precipitation height;7.80;18633
Ahaus;precipitation height;2.10;18634
Ahaus;precipitation height;0.20;18635
Ahaus;precipitation height;0.40;18636
Ahaus;precipitation height;1.60;18637
Ahaus;precipitation height;4.80;18638
Ahaus;precipitation height;17.20;18639
Ahaus;precipitation height;0.40;18640
Ahaus;precipitation height;0.20;18641
Ahaus;precipitation height;8.80;18642
Ahaus;precipitation height;6.60;18643
Ahaus;precipitation height;2.80;18644
Ahaus;precipitation height;15.50;18645
Ahaus;precipitation height;6.30;18646
Ahaus;precipitation height;3.20;18647
Ahaus;precipitation height;0.00;18648
Ahaus;precipitation height;0.80;18649
Ahaus;precipitation height;1.30;18650
Ahaus;precipitation height;0.80;18651
Ahaus;precipitation height;0.00;18652
Ahaus;precipitation height;0.00;18653
Ahaus;precipitation height;0.00;18654
Ahaus;precipitation height;0.00;18655
Ahaus;precipitation height;0.40;18656
Ahaus;precipitation height;0.00;18657
Ahaus;precipitation height;0.00;18658
Ahaus;precipitation height;0.00;18659
Ahaus;precipitation height;0.00;18660
Ahaus;precipitation height;0.30;18661
Ahaus;precipitation height;0.70;18662
Ahaus;precipitation height;0.30;18663
Ahaus;precipitation height;1.10;18664
Ahaus;precipitation height;0.00;18665
Ahaus;precipitation height;0.60;18666
Ahaus;precipitation height;0.80;18667
Ahaus;precipitation height;1.70;18668
Ahaus;precipitation height;0.20;18669
Ahaus;precipitation height;2.90;18670
Ahaus;precipitation height;0.10;18671
Ahaus;precipitation height;5.40;18672
Ahaus;precipitation height;0.70;18673
Ahaus;precipitation height;0.00;18674
Ahaus;precipitation height;0.40;18675
Ahaus;precipitation height;11.70;18676
Ahaus;precipitation height;5.60;18677
Ahaus;precipitation height;5.30;18678
Ahaus;precipitation height;11.10;18679
Ahaus;precipitation height;0.40;18680
Ahaus;precipitation height;0.40;18681
Ahaus;precipitation height;0.40;18682
Ahaus;precipitation height;5.00;18683
Ahaus;precipitation height;5.90;18684
Ahaus;precipitation height;0.10;18685
Ahaus;precipitation height;0.30;18686
Ahaus;precipitation height;0.40;18687
Ahaus;precipitation height;0.10;18688
Ahaus;precipitation height;0.00;18689
Ahaus;precipitation height;0.00;18690
