site;var_name;value;exceldate
Ahaus;mean temperature;1.80;18629
Ahaus;mean temperature;1.80;18630
Ahaus;mean temperature;1.10;18631
Ahaus;mean temperature;1.90;18632
Ahaus;mean temperature;6.30;18633
Ahaus;mean temperature;7.20;18634
Ahaus;mean temperature;6.40;18635
Ahaus;mean temperature;6.20;18636
Ahaus;mean temperature;3.70;18637
Ahaus;mean temperature;3.90;18638
Ahaus;mean temperature;7.10;18639
Ahaus;mean temperature;4.20;18640
Ahaus;mean temperature;4.10;18641
Ahaus;mean temperature;4.50;18642
Ahaus;mean temperature;4.00;18643
Ahaus;mean temperature;3.60;18644
Ahaus;mean temperature;6.50;18645
Ahaus;mean temperature;5.70;18646
Ahaus;mean temperature;5.30;18647
Ahaus;mean temperature;4.40;18648
Ahaus;mean temperature;2.90;18649
Ahaus;mean temperature;6.00;18650
Ahaus;mean temperature;4.80;18651
Ahaus;mean temperature;3.30;18652
Ahaus;mean temperature;1.20;18653
Ahaus;mean temperature;1.10;18654
Ahaus;mean temperature;3.00;18655
Ahaus;mean temperature;0.90;18656
Ahaus;mean temperature;0.30;18657
Ahaus;mean temperature;0.70;18658
Ahaus;mean temperature;0.50;18659
Ahaus;mean temperature;1.60;18660
Ahaus;mean temperature;1.30;18661
Ahaus;mean temperature;1.00;18662
Ahaus;mean temperature;4.80;18663
Ahaus;mean temperature;5.30;18664
Ahaus;mean temperature;4.50;18665
Ahaus;mean temperature;3.40;18666
Ahaus;mean temperature;6.70;18667
Ahaus;mean temperature;8.20;18668
Ahaus;mean temperature;3.40;18669
Ahaus;mean temperature;3.80;18670
Ahaus;mean temperature;5.00;18671
Ahaus;mean temperature;3.10;18672
Ahaus;mean temperature;2.70;18673
Ahaus;mean temperature;2.90;18674
Ahaus;mean temperature;3.50;18675
Ahaus;mean temperature;4.70;18676
Ahaus;mean temperature;3.70;18677
Ahaus;mean temperature;3.70;18678
Ahaus;mean temperature;5.80;18679
Ahaus;mean temperature;3.70;18680
Ahaus;mean temperature;3.80;18681
Ahaus;mean temperature;3.50;18682
Ahaus;mean temperature;3.60;18683
Ahaus;mean temperature;3.90;18684
Ahaus;mean temperature;1.80;18685
Ahaus;mean temperature;1.10;18686
Ahaus;mean temperature;-0.10;18687
Ahaus;mean temperature;0.20;18688
Ahaus;mean temperature;0.00;18689
Ahaus;mean temperature;-0.40;18690
Ahaus;mean temperature;0.10;18691
Ahaus;mean temperature;0.00;18692
Ahaus;mean temperature;2.20;18693
Ahaus;mean temperature;3.10;18694
Ahaus;mean temperature;1.00;18695
Ahaus;mean temperature;-0.20;18696
Ahaus;mean temperature;0.90;18697
Ahaus;mean temperature;4.70;18698
Ahaus;mean temperature;6.60;18699
Ahaus;mean temperature;9.50;18700
Ahaus;mean temperature;6.90;18701
Ahaus;mean temperature;6.00;18702
Ahaus;mean temperature;7.50;18703
Ahaus;mean temperature;11.70;18704
Ahaus;mean temperature;8.40;18705
Ahaus;mean temperature;3.50;18706
Ahaus;mean temperature;1.50;18707
Ahaus;mean temperature;2.40;18708
Ahaus;mean temperature;5.80;18709
Ahaus;mean temperature;8.00;18710
Ahaus;mean temperature;2.90;18711
Ahaus;mean temperature;1.90;18712
Ahaus;mean temperature;3.00;18713
Ahaus;mean temperature;2.40;18714
Ahaus;mean temperature;1.10;18715
Ahaus;mean temperature;1.30;18716
Ahaus;mean temperature;3.40;18717
Ahaus;mean temperature;2.60;18718
Ahaus;mean temperature;6.30;18719
Ahaus;mean temperature;6.10;18720
Ahaus;mean temperature;5.70;18721
Ahaus;mean temperature;7.30;18722
Ahaus;mean temperature;6.50;18723
Ahaus;mean temperature;8.50;18724
Ahaus;mean temperature;9.50;18725
Ahaus;mean temperature;5.10;18726
Ahaus;mean temperature;6.10;18727
Ahaus;mean temperature;4.60;18728
Ahaus;mean temperature;3.80;18729
Ahaus;mean temperature;7.60;18730
Ahaus;mean temperature;6.80;18731
Ahaus;mean temperature;3.60;18732
Ahaus;mean temperature;5.50;18733
Ahaus;mean temperature;8.50;18734
Ahaus;mean temperature;5.10;18735
Ahaus;mean temperature;9.30;18736
Ahaus;mean temperature;7.50;18737
Ahaus;mean temperature;5.60;18738
Ahaus;mean temperature;4.00;18739
Ahaus;mean temperature;7.10;18740
Ahaus;mean temperature;10.60;18741
Ahaus;mean temperature;13.60;18742
Ahaus;mean temperature;16.50;18743
Ahaus;mean temperature;14.20;18744
Ahaus;mean temperature;6.70;18745
Ahaus;mean temperature;3.50;18746
Ahaus;mean temperature;5.30;18747
Ahaus;mean temperature;7.30;18748
Ahaus;mean temperature;10.60;18749
Ahaus;mean temperature;13.40;18750
Ahaus;mean temperature;14.20;18751
Ahaus;mean temperature;14.40;18752
Ahaus;mean temperature;11.90;18753
Ahaus;mean temperature;14.10;18754
Ahaus;mean temperature;12.30;18755
Ahaus;mean temperature;10.60;18756
Ahaus;mean temperature;10.00;18757
Ahaus;mean temperature;10.70;18758
Ahaus;mean temperature;10.10;18759
Ahaus;mean temperature;11.00;18760
Ahaus;mean temperature;9.60;18761
Ahaus;mean temperature;8.30;18762
Ahaus;mean temperature;8.30;18763
Ahaus;mean temperature;8.00;18764
Ahaus;mean temperature;10.90;18765
Ahaus;mean temperature;13.50;18766
Ahaus;mean temperature;16.30;18767
Ahaus;mean temperature;17.50;18768
Ahaus;mean temperature;11.40;18769
Ahaus;mean temperature;12.30;18770
Ahaus;mean temperature;14.50;18771
Ahaus;mean temperature;15.90;18772
Ahaus;mean temperature;14.40;18773
Ahaus;mean temperature;15.10;18774
Ahaus;mean temperature;13.30;18775
Ahaus;mean temperature;11.40;18776
Ahaus;mean temperature;9.80;18777
Ahaus;mean temperature;9.90;18778
Ahaus;mean temperature;13.00;18779
Ahaus;mean temperature;14.90;18780
Ahaus;mean temperature;15.70;18781
Ahaus;mean temperature;14.70;18782
Ahaus;mean temperature;14.40;18783
Ahaus;mean temperature;15.30;18784
Ahaus;mean temperature;14.60;18785
Ahaus;mean temperature;12.60;18786
Ahaus;mean temperature;14.70;18787
Ahaus;mean temperature;16.10;18788
Ahaus;mean temperature;13.20;18789
Ahaus;mean temperature;15.70;18790
Ahaus;mean temperature;16.80;18791
Ahaus;mean temperature;15.50;18792
Ahaus;mean temperature;19.70;18793
Ahaus;mean temperature;17.50;18794
Ahaus;mean temperature;17.00;18795
Ahaus;mean temperature;18.10;18796
Ahaus;mean temperature;14.40;18797
Ahaus;mean temperature;14.10;18798
Ahaus;mean temperature;15.00;18799
Ahaus;mean temperature;19.50;18800
Ahaus;mean temperature;18.50;18801
Ahaus;mean temperature;18.30;18802
Ahaus;mean temperature;14.20;18803
Ahaus;mean temperature;14.60;18804
Ahaus;mean temperature;12.30;18805
Ahaus;mean temperature;12.80;18806
Ahaus;mean temperature;13.40;18807
Ahaus;mean temperature;12.40;18808
Ahaus;mean temperature;12.80;18809
Ahaus;mean temperature;14.90;18810
Ahaus;mean temperature;18.50;18811
Ahaus;mean temperature;18.10;18812
Ahaus;mean temperature;13.70;18813
Ahaus;mean temperature;11.90;18814
Ahaus;mean temperature;16.10;18815
Ahaus;mean temperature;18.40;18816
Ahaus;mean temperature;19.20;18817
Ahaus;mean temperature;17.10;18818
Ahaus;mean temperature;20.10;18819
Ahaus;mean temperature;20.10;18820
Ahaus;mean temperature;17.50;18821
Ahaus;mean temperature;16.60;18822
Ahaus;mean temperature;16.40;18823
Ahaus;mean temperature;12.10;18824
Ahaus;mean temperature;15.00;18825
Ahaus;mean temperature;18.10;18826
Ahaus;mean temperature;14.90;18827
Ahaus;mean temperature;15.90;18828
Ahaus;mean temperature;16.40;18829
Ahaus;mean temperature;15.30;18830
Ahaus;mean temperature;19.00;18831
Ahaus;mean temperature;17.60;18832
Ahaus;mean temperature;15.40;18833
Ahaus;mean temperature;15.60;18834
Ahaus;mean temperature;15.30;18835
Ahaus;mean temperature;17.80;18836
Ahaus;mean temperature;19.20;18837
Ahaus;mean temperature;18.60;18838
Ahaus;mean temperature;18.70;18839
Ahaus;mean temperature;22.10;18840
Ahaus;mean temperature;20.50;18841
Ahaus;mean temperature;19.60;18842
Ahaus;mean temperature;21.70;18843
Ahaus;mean temperature;19.60;18844
Ahaus;mean temperature;17.00;18845
Ahaus;mean temperature;20.20;18846
Ahaus;mean temperature;18.90;18847
Ahaus;mean temperature;16.80;18848
Ahaus;mean temperature;16.00;18849
Ahaus;mean temperature;15.00;18850
Ahaus;mean temperature;15.40;18851
Ahaus;mean temperature;15.70;18852
Ahaus;mean temperature;13.70;18853
Ahaus;mean temperature;13.60;18854
Ahaus;mean temperature;13.80;18855
Ahaus;mean temperature;13.50;18856
Ahaus;mean temperature;15.00;18857
